domain,domain_label,timepoint,n_rated_cases,k_raters,model,type_primary,unit_primary,ICC_A_k,ICC_A_k_lo95,ICC_A_k_hi95,ICC_A_1,ICC_A_1_lo95,ICC_A_1_hi95,ICC_C_1,ICC_C_1_lo95,ICC_C_1_hi95,ICC_C_k,ICC_C_k_lo95,ICC_C_k_hi95,MSR,MSC,MSE,F_targets,df1,df2,p_F,max_dev_anova_vs_pingouin,max_ci_dev_vs_pingouin_2dp,ICC_A_k_3dp,display_A_k
BS_RJA,Responding to Joint Attention,T1,41,2,two-way random,absolute agreement,average measures (k=2),0.9464375383585338,0.9000824352854594,0.9713573365803043,0.8983212413281788,0.8183180850639984,0.9443097891264319,0.8984163974365765,0.8176180908227605,0.944512409490332,0.94649034705948,0.8996588391708388,0.9714645222941973,21.856097560975613,1.2195121951219534,1.1695121951219485,18.6882168925965,40,40,3.511979164837636e-16,3.3306690738754696e-16,0.0,0.946,0.946 (0.900–0.971)
BS_RJA,Responding to Joint Attention,T2,38,2,two-way random,absolute agreement,average measures (k=2),0.8436739026370013,0.7002673888852752,0.9186041291230426,0.7296158969005363,0.538778040111408,0.8494614727704677,0.738279969402251,0.5507487667523796,0.8548566969273713,0.8494373546237506,0.7103004413871278,0.921749586740009,16.970483641536276,6.960526315789482,2.555120910384068,6.6417536534446775,37,37,4.064311412914032e-08,3.3306690738754696e-16,0.0,0.844,0.844 (0.700–0.919)
BS_RJA,Responding to Joint Attention,T3,40,2,two-way random,absolute agreement,average measures (k=2),0.910599952572919,0.8285297934175305,0.9530688012333954,0.8358728776665215,0.7072563935147798,0.910345209270877,0.844574780058651,0.725159099540331,0.9146718008631395,0.9157392686804451,0.8406866354918219,0.9554345558866045,16.128205128205128,5.0,1.358974358974359,11.867924528301886,39,39,1.9563176152255126e-12,0.0,0.0,0.911,0.911 (0.829–0.953)
BS_IJA,Initiating Joint Attention,T1,41,2,two-way random,absolute agreement,average measures (k=2),0.9701142689715792,0.9442093306414969,0.9840246750633294,0.9419630156472261,0.8943149035548852,0.9685517461998078,0.9426219507235294,0.8950402213160884,0.9689863271823423,0.9704636049978226,0.9446134295708943,0.9842489140785254,145.62439024390244,6.451219512195113,4.301219512195122,33.85653529912106,40,40,5.810610406190552e-21,4.440892098500626e-16,0.0,0.97,0.970 (0.944–0.984)
BS_IJA,Initiating Joint Attention,T2,38,2,two-way random,absolute agreement,average measures (k=2),0.9582587143768303,0.9200432371130158,0.978256217396946,0.9198624721910679,0.8519259925309596,0.9574378959318777,0.9190919011070163,0.8499337607403036,0.9571172650926814,0.9578404250227348,0.9188802094191507,0.9780888270354674,185.7485775248933,4.75,7.831081081081106,23.7194042050769,37,37,7.649187546898198e-17,3.3306690738754696e-16,0.0,0.958,0.958 (0.920–0.978)
BS_IJA,Initiating Joint Attention,T3,40,2,two-way random,absolute agreement,average measures (k=2),0.9542955686614517,0.913498117360574,0.9758399076023189,0.9125863294276289,0.8407699351071753,0.9528196957155016,0.9105509730361999,0.8373562607120523,0.9516722155520618,0.9531815543127594,0.9114794758285383,0.9752377555704108,101.03814102564102,0.012500000000000356,4.73044871794873,21.359102920251996,39,39,7.576170110924224e-17,0.0,0.0,0.954,0.954 (0.913–0.976)
BS_EC,Eye Contact,T1,41,2,two-way random,absolute agreement,average measures (k=2),0.7667478684531059,0.5610757375050951,0.8758434207834136,0.6217283950617283,0.3899272200277336,0.7791115908370879,0.6166429935837782,0.3844007389059548,0.775478602610622,0.7628684824431181,0.5553316003135533,0.873543169115501,20.12621951219512,0.5975609756097541,4.772560975609756,4.217069119713811,40,40,6.854217066169817e-06,1.1102230246251565e-16,0.0,0.767,0.767 (0.561–0.876)
BS_EC,Eye Contact,T2,38,2,two-way random,absolute agreement,average measures (k=2),0.7993430847943982,0.6171304408178991,0.8952605795082886,0.6657547836281923,0.44626800606045613,0.8103816727294979,0.6693768985476583,0.4481482566595767,0.8133492823136272,0.8019481989118331,0.6189259346875353,0.8970685242457935,39.28200568990042,12.644736842105265,7.779871977240399,5.049184074598893,37,37,1.5860150933076497e-06,1.1102230246251565e-16,0.0,0.799,0.799 (0.617–0.895)
BS_EC,Eye Contact,T3,40,2,two-way random,absolute agreement,average measures (k=2),0.7181676349818622,0.42395585599275454,0.8570146970258679,0.5602664237391918,0.2689999881061742,0.749803776825347,0.6102643350955675,0.3721047187286444,0.7730329572599505,0.7579678960713603,0.5423853058000219,0.8719893830451946,31.72788461538462,78.01250000000005,7.67916666666666,4.131683292291002,39,39,1.1355756326793248e-05,3.3306690738754696e-16,0.0,0.718,0.718 (0.424–0.857)
BS_FL,Follow Behaviour,T1,41,2,two-way random,absolute agreement,average measures (k=2),0.9583273458830291,0.9140047765744427,0.9788397569036978,0.9199889639950338,0.8416287262216451,0.9585564689981633,0.9289594651065609,0.8708014037216288,0.9614770649197422,0.9631715771230503,0.9309394380283479,0.9803602418966678,8.44390243902439,2.0609756097561127,0.31097560975609717,27.15294117647062,40,40,3.665457385195393e-19,0.0,0.0,0.958,0.958 (0.914–0.979)
BS_FL,Follow Behaviour,T2,38,2,two-way random,absolute agreement,average measures (k=2),0.7969144043910402,0.6110431151965461,0.8942008530544912,0.6623921085080153,0.4399295052869928,0.8086467199079467,0.6615763546798035,0.4368888120987347,0.8085559999896064,0.7963237474058705,0.6081038538543708,0.894145384488236,4.7980085348506405,0.8421052631578999,0.9772403982930282,4.909752547307141,37,37,2.2626158718840604e-06,1.1102230246251565e-16,0.0,0.797,0.797 (0.611–0.894)
BS_FL,Follow Behaviour,T3,40,2,two-way random,absolute agreement,average measures (k=2),0.8721506442021805,0.7596432091217447,0.9321771942523585,0.773286467486819,0.6124392712711845,0.8729699246306043,0.7772795216741405,0.6168982825920771,0.8756812954296445,0.8746846089150546,0.7630638107959605,0.9337207739538294,4.19198717948718,1.0124999999999966,0.525320512820513,7.979865771812079,39,39,1.1399386504384476e-09,0.0,0.0,0.872,0.872 (0.760–0.932)
BS_T,Total Behavioural Score,T1,41,2,two-way random,absolute agreement,average measures (k=2),0.9679479893614602,0.9398972820331271,0.9829072791305927,0.9378868306865485,0.8866096332964009,0.9663890606653904,0.9365336312809842,0.8842040106797611,0.9656460298812616,0.967226818221053,0.9385438154977372,0.9825228095005418,268.4378048780488,0.5975609756097634,8.797560975609755,30.512752980316055,40,40,4.126471176618709e-20,4.440892098500626e-16,0.0,0.968,0.968 (0.940–0.983)
BS_T,Total Behavioural Score,T2,38,2,two-way random,absolute agreement,average measures (k=2),0.8467000259297468,0.7064000338760023,0.9201362917195895,0.7341542052945281,0.5460730151320138,0.8520855777113084,0.733209543495778,0.543000372406309,0.8518522831127066,0.846071435790665,0.7038240328607309,0.9200002515112718,193.52098150782362,24.32894736842106,29.788406827880536,6.496520026263948,37,37,5.5260945089487284e-08,4.440892098500626e-16,0.0,0.847,0.847 (0.706–0.920)
