variable,timepoint,n_participants,session_not_administered,attended_and_RT_present,attended_but_RT_undefined,Control_n,Control_mean,Control_sd,Control_median,Intervention_n,Intervention_mean,Intervention_sd,Intervention_median,missingness_note,inferential_use
JAST_RT_t1,T1,43,2,40,1,21,16.633333333333333,14.425085903845888,12.0,19,20.671,15.115264731022373,14.99,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
JAST_RT_t1,T2,43,5,37,1,18,22.023888888888887,18.72819238125455,15.655,19,12.339473684210526,10.479303663085533,7.03,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
JAST_RT_t1,T3,43,3,38,2,19,23.808947368421048,17.672015509379307,23.08,19,13.036315789473683,11.811147846432727,8.95,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
JAST_RT_t2,T1,43,2,40,1,21,8.762857142857143,6.813830158477054,6.0,19,7.01478947368421,3.9840337261366336,6.99,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
JAST_RT_t2,T2,43,5,38,0,19,7.168157894736844,7.736630979834093,4.68,19,7.800526315789472,8.434788065363724,5.52,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
JAST_RT_t2,T3,43,3,39,1,20,11.556000000000001,17.10879533733269,5.34,19,8.569894736842107,8.992134105210056,6.06,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
JAST_RT_t3,T1,43,2,39,2,19,17.384210526315787,17.13749032767033,9.0,20,26.974,23.964974968965812,18.549999999999997,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
JAST_RT_t3,T2,43,5,38,0,19,18.042631578947365,17.81917127456495,12.25,19,17.769999999999996,44.41619436897113,6.0,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
JAST_RT_t3,T3,43,3,39,1,20,13.355500000000001,18.87898092560808,6.025,19,10.817894736842103,7.955926916419933,6.38,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
JAST_RT_t4,T1,43,2,36,5,17,13.13094117647059,15.230188116330789,9.92,19,11.707578947368422,8.852754011641986,8.0,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
JAST_RT_t4,T2,43,5,38,0,19,6.845157894736841,8.155479066677662,4.24,19,8.101578947368422,10.299307022620445,5.15,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
JAST_RT_t4,T3,43,3,39,1,20,9.169,14.617914711966131,5.609999999999999,19,5.719578947368421,4.674905944577203,4.65,"session_not_administered = the whole JAST session is absent (dropout-type). attended_but_RT_undefined = the child completed the session but did not respond to that cue, so no reaction time exists. The latter is STRUCTURALLY UNDEFINED, not MAR, and is never imputed or modelled as missing.",NONE - descriptive only; excluded from all efficacy conclusions
