outcome,family,contrast,test,p_raw,Holm_within_family,BH_within_family,Holm_all,BH_all,p_raw_sig,Holm_within_family_sig,BH_within_family_sig,Holm_all_sig,BH_all_sig,model,estimand,excluded_from_families
CJARS_ss,PRIMARY (joint attention),Treatment difference in change T1->T2,CJARS_ss | T1->T2,0.0005306742997497,0.0074294401964957995,0.00133783365130425,0.010613485994994,0.0012231621954781715,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
CJARS_ss,PRIMARY (joint attention),Treatment difference in change T1->T3,CJARS_ss | T1->T3,0.0005351334605217,0.0074294401964957995,0.00133783365130425,0.010613485994994,0.0012231621954781715,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
CJARS_ps,PRIMARY (joint attention),Treatment difference in change T1->T2,CJARS_ps | T1->T2,0.0004373555043672,0.006560332565508,0.00133783365130425,0.0091844655917112,0.0011662813449792,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
CJARS_ps,PRIMARY (joint attention),Treatment difference in change T1->T3,CJARS_ps | T1->T3,0.000105885879259,0.0018000599474030001,0.00051227483201,0.002435375222957,0.0003388348136288,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
CJARS_sjas,PRIMARY (joint attention),Treatment difference in change T1->T2,CJARS_sjas | T1->T2,0.0001280687080025,0.00204909932804,0.00051227483201,0.002817511576055,0.0003725635141890909,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
CJARS_sjas,PRIMARY (joint attention),Treatment difference in change T1->T3,CJARS_sjas | T1->T3,5.58117976032583e-05,0.001116235952065166,0.00051227483201,0.001506918535287974,0.00029766292055071093,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
BS_RJA,PRIMARY (joint attention),Treatment difference in change T1->T2,BS_RJA | T1->T2,0.0428859910644373,0.428859910644373,0.07797452920806781,0.5146318927732476,0.06535008162199969,True,False,False,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
BS_RJA,PRIMARY (joint attention),Treatment difference in change T1->T3,BS_RJA | T1->T3,0.4026719562291876,1.0,0.5368959416389169,1.0,0.4772408370123705,False,False,False,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
BS_IJA,PRIMARY (joint attention),Treatment difference in change T1->T2,BS_IJA | T1->T2,0.7358037974302067,1.0,0.7745303130844282,1.0,0.759539403798923,False,False,False,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
BS_IJA,PRIMARY (joint attention),Treatment difference in change T1->T3,BS_IJA | T1->T3,0.3984823668266526,1.0,0.5368959416389169,1.0,0.4772408370123705,False,False,False,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
BS_EC,PRIMARY (joint attention),Treatment difference in change T1->T2,BS_EC | T1->T2,0.566083718237927,1.0,0.6659808449857965,1.0,0.6246441028832298,False,False,False,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
BS_EC,PRIMARY (joint attention),Treatment difference in change T1->T3,BS_EC | T1->T3,0.9502884484292786,1.0,0.9502884484292785,1.0,0.9502884484292786,False,False,False,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
BS_FL,PRIMARY (joint attention),Treatment difference in change T1->T2,BS_FL | T1->T2,0.6063913256329172,1.0,0.6737681395921302,1.0,0.6468174140084451,False,False,False,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
BS_FL,PRIMARY (joint attention),Treatment difference in change T1->T3,BS_FL | T1->T3,0.3648787351487583,1.0,0.5368959416389169,1.0,0.4772408370123705,False,False,False,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
BS_T,PRIMARY (joint attention),Treatment difference in change T1->T2,BS_T | T1->T2,0.377168729063331,1.0,0.5368959416389169,1.0,0.4772408370123705,False,False,False,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
