outcome,contrast,n_participants,n_observations,estimate,se,ci_lo,ci_hi,published_estimate,abs_difference,agrees
CJARS_ss,T1->T2,43,124,-6.4729,1.7893,-10.0363,-2.9096,-6.4729298846928085,1e-06,yes
CJARS_ss,T1->T3,43,124,-6.4128,1.774,-9.9456,-2.8799,-6.412755606224052,1e-06,yes
CJARS_ps,T1->T2,43,124,18.056,4.9152,8.2698,27.8422,18.05602085828284,2.3e-05,yes
CJARS_ps,T1->T3,43,124,19.9089,4.8724,10.2078,29.61,19.908937563597704,2.5e-05,yes
CJARS_sjas,T1->T2,43,124,0.8834,0.219,0.4473,1.3195,0.8834062868869419,1e-06,yes
CJARS_sjas,T1->T3,43,124,0.9263,0.2171,0.494,1.3586,0.9263037895638496,1e-06,yes
BS_RJA,T1->T2,41,119,2.2746,1.1046,0.0743,4.4749,2.274626989911013,3e-06,yes
BS_RJA,T1->T3,41,119,0.9152,1.0877,-1.2518,3.0823,0.9152521201465404,3e-06,yes
BS_IJA,T1->T2,41,119,0.9192,2.7152,-4.4907,6.329,0.9191562011781153,3e-06,yes
BS_IJA,T1->T3,41,119,2.2673,2.67,-3.0533,7.5878,2.2672546705877608,2e-06,yes
BS_EC,T1->T2,41,119,0.7634,1.3245,-1.8753,3.4021,0.7634086326519558,0.0,yes
BS_EC,T1->T3,41,119,0.0815,1.3035,-2.5157,2.6788,0.0815149696268058,0.0,yes
BS_FL,T1->T2,41,119,-0.3675,0.7106,-1.7828,1.0477,-0.3675451050599285,0.0,yes
BS_FL,T1->T3,41,119,-0.6384,0.7004,-2.0335,0.7566,-0.638421597314391,0.0,yes
BS_T,T1->T2,41,119,3.36,3.7843,-4.1784,10.8984,3.360006686286681,1.3e-05,yes
BS_T,T1->T3,41,119,2.6743,3.726,-4.7494,10.0979,2.6742928579480605,5e-06,yes
JAST_arja,T1->T2,41,119,0.6894,0.2115,0.268,1.1108,0.6894114080877909,0.0,yes
JAST_arja,T1->T3,41,119,0.7149,0.208,0.3004,1.1294,0.7149150371567208,0.0,yes
JAST_aija,T1->T2,41,119,1.3737,0.331,0.7142,2.0331,1.3736505740633485,0.0,yes
JAST_aija,T1->T3,41,119,1.3432,0.3255,0.6945,1.9918,1.3431866518736415,0.0,yes
GARS_rr,T1->T2,43,124,-5.7392,1.2181,-8.1643,-3.3142,-5.739225837652093,1e-06,yes
GARS_rr,T1->T3,43,124,-6.1907,1.2076,-8.595,-3.7863,-6.190660450913107,1e-06,yes
GARS_si,T1->T2,43,124,-4.2625,1.0377,-6.3291,-2.1959,-4.262532017714944,1e-06,yes
GARS_si,T1->T3,43,124,-4.5783,1.0286,-6.6268,-2.5299,-4.57834730004002,1e-06,yes
GARS_sc,T1->T2,43,124,-1.9969,0.6379,-3.2672,-0.7267,-1.9969277237422407,1e-06,yes
GARS_sc,T1->T3,43,124,-1.3803,0.6324,-2.6395,-0.1211,-1.380297413845252,1e-06,yes
GARS_er,T1->T2,43,124,-5.8334,1.0001,-7.8246,-3.8421,-5.833359127431233,2e-06,yes
GARS_er,T1->T3,43,124,-7.1793,0.9913,-9.1532,-5.2055,-7.179347246738299,1e-06,yes
ACSF_tp,T1->T2,43,124,-0.2508,0.1382,-0.526,0.0244,-0.2508254504951306,0.0,yes
ACSF_tp,T1->T3,43,124,-0.2551,0.137,-0.528,0.0177,-0.2551268261121331,0.0,yes
ACSF_cc,T1->T2,43,124,-0.512,0.1533,-0.8174,-0.2067,-0.512048706083406,0.0,yes
ACSF_cc,T1->T3,43,124,-0.4885,0.152,-0.7912,-0.1859,-0.488542703761911,0.0,yes
