outcome,model,quantity,term,spss,python,abs_diff,rel_diff
CJARS_ss,A_unadjusted,-2 Restricted Log Likelihood,,782.35837876966,782.3583787696593,6.821210263296962e-13,8.718779587973512e-16
CJARS_ss,B_verbal_adjusted,-2 Restricted Log Likelihood,,768.68461370124,768.6846137012316,8.412825991399586e-12,1.0944444368271626e-14
CJARS_ps,A_unadjusted,-2 Restricted Log Likelihood,,1027.6278385795,1027.6278385795165,1.659827830735594e-11,1.6152032559082775e-14
CJARS_ps,B_verbal_adjusted,-2 Restricted Log Likelihood,,1014.8761204027,1014.8761204026532,4.6838977141305804e-11,4.615240835770205e-14
CJARS_sjas,A_unadjusted,-2 Restricted Log Likelihood,,294.33099025258,294.33099025258275,2.7284841053187847e-12,9.270121719012114e-15
CJARS_sjas,B_verbal_adjusted,-2 Restricted Log Likelihood,,285.39630666601,285.39630666601056,5.684341886080801e-13,1.9917363165925624e-15
BS_RJA,A_unadjusted,-2 Restricted Log Likelihood,,575.66634658491,575.6663465849102,2.2737367544323206e-13,3.949747571524832e-16
BS_RJA,B_verbal_adjusted,-2 Restricted Log Likelihood,,570.11074810317,570.1107481031713,1.3642420526593924e-12,2.3929421734257722e-15
BS_IJA,A_unadjusted,-2 Restricted Log Likelihood,,797.20600878701,797.2060087870037,6.252776074688882e-12,7.843362952322452e-15
BS_IJA,B_verbal_adjusted,-2 Restricted Log Likelihood,,788.33905011128,788.3390501112765,3.524291969370097e-12,4.470528218629556e-15
BS_EC,A_unadjusted,-2 Restricted Log Likelihood,,628.04020968867,628.0402096886734,3.410605131648481e-12,5.4305521828597165e-15
BS_EC,B_verbal_adjusted,-2 Restricted Log Likelihood,,624.60366850612,624.6036685061222,2.1600499167107046e-12,3.4582728626569695e-15
BS_FL,A_unadjusted,-2 Restricted Log Likelihood,,457.93727558339,457.9372755833997,9.72022462519817e-12,2.122610484768918e-14
BS_FL,B_verbal_adjusted,-2 Restricted Log Likelihood,,457.24965604065,457.2496560406449,5.115907697472721e-12,1.1188434217253761e-14
BS_T,A_unadjusted,-2 Restricted Log Likelihood,,850.51877416886,850.5187741688637,3.751665644813329e-12,4.4110321356274756e-15
BS_T,B_verbal_adjusted,-2 Restricted Log Likelihood,,840.9206920493,840.9206920492998,2.2737367544323206e-13,2.703865865033346e-16
JAST_arja,A_unadjusted,-2 Restricted Log Likelihood,,231.36657660587,231.36657660586488,5.115907697472721e-12,2.211169725775735e-14
JAST_arja,B_verbal_adjusted,-2 Restricted Log Likelihood,,229.15413453812,229.15413453811755,2.4442670110147446e-12,1.0666475714878009e-14
JAST_aija,A_unadjusted,-2 Restricted Log Likelihood,,325.33757190735,325.3375719073487,1.3073986337985843e-12,4.018590985768181e-15
JAST_aija,B_verbal_adjusted,-2 Restricted Log Likelihood,,322.9515162137,322.9515162136961,3.922195901395753e-12,1.2144844363574376e-14
GARS_rr,A_unadjusted,-2 Restricted Log Likelihood,,692.62973759562,692.6297375956058,1.4210854715202004e-11,2.051724600294128e-14
GARS_rr,B_verbal_adjusted,-2 Restricted Log Likelihood,,679.17883021442,679.1788302144141,5.9117155615240335e-12,8.704210582738093e-15
GARS_si,A_unadjusted,-2 Restricted Log Likelihood,,677.4653836434,677.4653836434086,8.640199666842818e-12,1.2753713880369707e-14
GARS_si,B_verbal_adjusted,-2 Restricted Log Likelihood,,664.5046891211,664.5046891210969,3.069544618483633e-12,4.6192971528064504e-15
GARS_sc,A_unadjusted,-2 Restricted Log Likelihood,,561.27400856923,561.2740085692878,5.786660040030256e-11,1.0309866396238985e-13
GARS_sc,B_verbal_adjusted,-2 Restricted Log Likelihood,,553.24011435531,553.240114355298,1.1937117960769683e-11,2.1576739739272145e-14
GARS_er,A_unadjusted,-2 Restricted Log Likelihood,,653.21426527824,653.2142652782258,1.4210854715202004e-11,2.1755273071308106e-14
GARS_er,B_verbal_adjusted,-2 Restricted Log Likelihood,,640.18322540545,640.1832254054442,5.7980287238024175e-12,9.056827004691239e-15
ACSF_tp,A_unadjusted,-2 Restricted Log Likelihood,,185.54010380789,185.54010380789265,2.6432189770275727e-12,1.424607900276043e-14
ACSF_tp,B_verbal_adjusted,-2 Restricted Log Likelihood,,166.66888712902,166.66888712901806,1.9326762412674725e-12,1.1595902958009008e-14
ACSF_cc,A_unadjusted,-2 Restricted Log Likelihood,,204.69187898127,204.69187898126285,7.16227077646181e-12,3.499049797240457e-14
ACSF_cc,B_verbal_adjusted,-2 Restricted Log Likelihood,,194.58259041859,194.58259041859267,2.6716406864579767e-12,1.3730111623607689e-14
CJARS_ss,A_unadjusted,omnibus Group x Time F,group*time,8.7119941980651,8.711993708039046,4.90026053512338e-07,5.624728878046899e-08
CJARS_ss,A_unadjusted,omnibus denominator df,group*time,75.588336150407,75.59095558628168,0.0026194358746778335,3.4653969224373904e-05
CJARS_ss,B_verbal_adjusted,omnibus Group x Time F,group*time,8.7617421866626,8.76174227873227,9.206966922192805e-08,1.0508146354965729e-08
CJARS_ss,B_verbal_adjusted,omnibus denominator df,group*time,76.308198740472,76.30959321630722,0.0013944758352266717,1.8274259624045825e-05
CJARS_ps,A_unadjusted,omnibus Group x Time F,group*time,10.133012968042,10.13301205220215,9.158398501796228e-07,9.038179000343175e-08
CJARS_ps,A_unadjusted,omnibus denominator df,group*time,76.852946872425,76.85566852975077,0.0027216573257788923,3.5413831694662434e-05
CJARS_ps,B_verbal_adjusted,omnibus Group x Time F,group*time,10.167112094513,10.167112522076216,4.275632168315724e-07,4.205355590230192e-08
CJARS_ps,B_verbal_adjusted,omnibus denominator df,group*time,77.360022824897,77.36415564735884,0.004132822461841101,5.3423232193140244e-05
CJARS_sjas,A_unadjusted,omnibus Group x Time F,group*time,11.521451608008,11.521451850809278,2.428012777500044e-07,2.1073844339305736e-08
CJARS_sjas,A_unadjusted,omnibus denominator df,group*time,76.215825088395,76.2157571352532,6.795314179441903e-05,8.915883507868225e-07
CJARS_sjas,B_verbal_adjusted,omnibus Group x Time F,group*time,11.563756114006,11.563756015364913,9.864108818646855e-08,8.530194446681096e-09
CJARS_sjas,B_verbal_adjusted,omnibus denominator df,group*time,76.833702559391,76.83217263037648,0.0015299290145236455,1.9912212526020588e-05
BS_RJA,A_unadjusted,omnibus Group x Time F,group*time,2.0973556489666,2.097355663521181,1.4554581095893582e-08,6.939491212691969e-09
BS_RJA,A_unadjusted,omnibus denominator df,group*time,75.159811828524,75.15799435667023,0.001817471853769348,2.4181431666112778e-05
BS_RJA,B_verbal_adjusted,omnibus Group x Time F,group*time,2.1370152850832,2.137015179116468,1.0596673183371763e-07,4.9586323772874675e-08
BS_RJA,B_verbal_adjusted,omnibus denominator df,group*time,75.104365351036,75.10330273826969,0.0010626127663044826,1.4148482066759452e-05
BS_IJA,A_unadjusted,omnibus Group x Time F,group*time,0.35044035743128,0.3504403514621826,5.9690973830406335e-09,1.7033133474677357e-08
BS_IJA,A_unadjusted,omnibus denominator df,group*time,74.09956293192,74.10107527030688,0.0015123383868740348,2.0409545306812625e-05
BS_IJA,B_verbal_adjusted,omnibus Group x Time F,group*time,0.36396471113841,0.3639647077008394,3.4375706170486353e-09,9.44479096969756e-09
BS_IJA,B_verbal_adjusted,omnibus denominator df,group*time,74.149671378083,74.15128372768979,0.0016123496067876886,2.1744528017750102e-05
BS_EC,A_unadjusted,omnibus Group x Time F,group*time,0.20468987172526,0.2046898736699722,1.944712224588585e-09,9.50077406467296e-09
BS_EC,A_unadjusted,omnibus denominator df,group*time,74.513613306791,74.51307739757189,0.0005359092191099535,7.192098132504761e-06
BS_EC,B_verbal_adjusted,omnibus Group x Time F,group*time,0.19653156527625,0.1965315681533212,2.8770712201531268e-09,1.4639232207350708e-08
BS_EC,B_verbal_adjusted,omnibus denominator df,group*time,74.542856913099,74.54211159855782,0.0007453145411773221,9.998470303414842e-06
BS_FL,A_unadjusted,omnibus Group x Time F,group*time,0.42566029820404,0.4256602945599479,3.6440920836433577e-09,8.5610335260738e-09
BS_FL,A_unadjusted,omnibus denominator df,group*time,76.491118346845,76.49027190227491,0.0008464445700866463,1.1065919656821952e-05
BS_FL,B_verbal_adjusted,omnibus Group x Time F,group*time,0.41917868104951,0.4191786824991048,1.4495947775472473e-09,3.458178679120451e-09
BS_FL,B_verbal_adjusted,omnibus denominator df,group*time,76.309881278173,76.3063064914852,0.0035747866877926526,4.684565914552344e-05
BS_T,A_unadjusted,omnibus Group x Time F,group*time,0.42911724732307,0.4291172449646143,2.3584557085065683e-09,5.496063659102835e-09
BS_T,A_unadjusted,omnibus denominator df,group*time,74.966192415554,74.96601740402856,0.0001750115254424145,2.3345393410443914e-06
BS_T,B_verbal_adjusted,omnibus Group x Time F,group*time,0.44856070860168,0.4485606953401952,1.3261484799187429e-08,2.9564526149711364e-08
BS_T,B_verbal_adjusted,omnibus denominator df,group*time,75.038277444301,75.03650841854127,0.0017690257597280379,2.3574978264141797e-05
JAST_arja,A_unadjusted,omnibus Group x Time F,group*time,7.526596404529,7.5265962338677745,1.7066122559583619e-07,2.2674422331605786e-08
JAST_arja,A_unadjusted,omnibus denominator df,group*time,74.423772084196,74.42355812532392,0.00021395887208086606,2.8748727199531522e-06
JAST_arja,B_verbal_adjusted,omnibus Group x Time F,group*time,7.5806199174292,7.5806199586485565,4.121935681666855e-08,5.43746517641623e-09
JAST_arja,B_verbal_adjusted,omnibus denominator df,group*time,74.220754859605,74.22039842220184,0.0003564374031554962,4.8023952845767805e-06
JAST_aija,A_unadjusted,omnibus Group x Time F,group*time,11.494405370936,11.494405109862882,2.6107311867917815e-07,2.271305998475663e-08
JAST_aija,A_unadjusted,omnibus denominator df,group*time,74.447060320853,74.44599455833284,0.0010657625201559995,1.431570992276607e-05
JAST_aija,B_verbal_adjusted,omnibus Group x Time F,group*time,11.555271834807,11.555271893336435,5.852943552042689e-08,5.065171668581907e-09
JAST_aija,B_verbal_adjusted,omnibus denominator df,group*time,74.309836963443,74.30895999776311,0.0008769656798932601,1.1801474955794703e-05
GARS_rr,A_unadjusted,omnibus Group x Time F,group*time,16.278305269292,16.278305666587244,3.9729524203835354e-07,2.4406425329043683e-08
GARS_rr,A_unadjusted,omnibus denominator df,group*time,77.142349958003,77.14368104064127,0.0013310826382735286,1.725488838489082e-05
GARS_rr,B_verbal_adjusted,omnibus Group x Time F,group*time,16.299820902213,16.29982148176836,5.795553619236671e-07,3.5555934350479995e-08
