outcome,contrast,observed_statistic,statistic_type,permutation_p,n_permutations,p_parametric_verbal_adjusted,permutation_mcse,near_0_05,stratification
CJARS_sjas,Omnibus Group x Time,11.563756181135945,Wald F (2 df),0.00011999880001199988,100000,4.071382629738457e-05,3.463859126292391e-05,False,labels permuted within verbal/nonverbal strata
CJARS_sjas,T1->T2 difference in change,4.033929864064324,t (Wald),0.00011999880001199988,100000,0.0001280687080025,3.463859126292391e-05,False,labels permuted within verbal/nonverbal strata
CJARS_sjas,T1->T3 difference in change,4.267069317834962,t (Wald),0.0004199958000419996,100000,5.58117976032583e-05,6.47931482039492e-05,False,labels permuted within verbal/nonverbal strata
JAST_arja,Omnibus Group x Time,7.5806201033528025,Wald F (2 df),0.002769972300276997,100000,0.0010098993033272,0.00016620084028107034,False,labels permuted within verbal/nonverbal strata
JAST_arja,T1->T2 difference in change,3.2595576301457045,t (Wald),0.006099939000609994,100000,0.0016850173361481,0.0002462248792893937,False,labels permuted within verbal/nonverbal strata
JAST_arja,T1->T3 difference in change,3.4380447841682615,t (Wald),0.0018299817001829982,100000,0.0009661238936728,0.0001351523067140914,False,labels permuted within verbal/nonverbal strata
JAST_aija,Omnibus Group x Time,11.555271757659312,Wald F (2 df),0.00042999570004299955,100000,4.270290410619026e-05,6.555962977899489e-05,False,labels permuted within verbal/nonverbal strata
JAST_aija,T1->T2 difference in change,4.150927917652669,t (Wald),0.00047999520004799953,100000,8.719862127571913e-05,6.926471013841463e-05,False,labels permuted within verbal/nonverbal strata
JAST_aija,T1->T3 difference in change,4.12730969774499,t (Wald),0.000979990200097999,100000,9.532408770892972e-05,9.894544098165513e-05,False,labels permuted within verbal/nonverbal strata
GARS_rr,Omnibus Group x Time,16.299821391260018,Wald F (2 df),1.999980000199998e-05,100000,1.2298242512819915e-06,1.4141852784553969e-05,False,labels permuted within verbal/nonverbal strata
GARS_rr,T1->T2 difference in change,-4.7122871079595905,t (Wald),5.999940000599994e-05,100000,1.0517338928122016e-05,2.4493917638058148e-05,False,labels permuted within verbal/nonverbal strata
GARS_rr,T1->T3 difference in change,-5.127391370295254,t (Wald),0.00012999870001299986,100000,2.093736453855675e-06,3.605280856549034e-05,False,labels permuted within verbal/nonverbal strata
GARS_si,Omnibus Group x Time,12.322071990683483,Wald F (2 df),9.99990000099999e-05,100000,2.3159106681827888e-05,3.1620879230342977e-05,False,labels permuted within verbal/nonverbal strata
GARS_si,T1->T2 difference in change,-4.10835250560837,t (Wald),0.00034999650003499967,100000,9.937561725460826e-05,5.914985239034203e-05,False,labels permuted within verbal/nonverbal strata
GARS_si,T1->T3 difference in change,-4.45202452504604,t (Wald),0.00011999880001199988,100000,2.8682008033805972e-05,3.463859126292391e-05,False,labels permuted within verbal/nonverbal strata
GARS_sc,Omnibus Group x Time,5.169335489967674,Wald F (2 df),0.006909930900690993,100000,0.0078212648336684,0.0002619563920672165,False,labels permuted within verbal/nonverbal strata
GARS_sc,T1->T2 difference in change,-3.1308251202381365,t (Wald),0.006489935100648993,100000,0.0024608614728727,0.0002539242281769249,False,labels permuted within verbal/nonverbal strata
GARS_sc,T1->T3 difference in change,-2.183350211228819,t (Wald),0.027359726402735974,100000,0.0320476271259047,0.0005158575933806418,False,labels permuted within verbal/nonverbal strata
GARS_er,Omnibus Group x Time,29.605640077137608,Wald F (2 df),9.99990000099999e-06,100000,2.878808973293297e-10,9.999850001874979e-06,False,labels permuted within verbal/nonverbal strata
GARS_er,T1->T2 difference in change,-5.833232903150955,t (Wald),1.999980000199998e-05,100000,1.19753439398945e-07,1.4141852784553969e-05,False,labels permuted within verbal/nonverbal strata
GARS_er,T1->T3 difference in change,-7.242392100703501,t (Wald),9.99990000099999e-06,100000,2.83265138821225e-10,9.999850001874979e-06,False,labels permuted within verbal/nonverbal strata
ACSF_cc,Omnibus Group x Time,7.20436783302263,Wald F (2 df),0.005939940600593994,100000,0.0013557499733857,0.00024299379951490133,False,labels permuted within verbal/nonverbal strata
ACSF_cc,T1->T2 difference in change,-3.3403699834292,t (Wald),0.0047299527004729955,100000,0.0012911176167776,0.0002169685039952241,False,labels permuted within verbal/nonverbal strata
ACSF_cc,T1->T3 difference in change,-3.214906710226091,t (Wald),0.007969920300796992,100000,0.001907067524196,0.00028118182032236465,False,labels permuted within verbal/nonverbal strata
BS_RJA,Omnibus Group x Time,2.1370151932440717,Wald F (2 df),0.12379876201237988,100000,0.1251276818809365,0.001041496729813127,False,labels permuted within verbal/nonverbal strata
BS_RJA,T1->T2 difference in change,2.0597162087476524,t (Wald),0.04981950180498195,100000,0.0428859910644373,0.0006880192270164302,True,labels permuted within verbal/nonverbal strata
BS_RJA,T1->T3 difference in change,0.8416640521271496,t (Wald),0.46843531564684354,100000,0.4026719562291876,0.0015779771249605577,False,labels permuted within verbal/nonverbal strata
